"","SVSPP","SCINAME","COMNAME","CRUISE6","STATION","PDSEX","PDID","PYLEN","PYLEST","PYNAM","PDLEN"
"71",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199405,41,1,1,14000,NA,"ILLEX SP",73
"72",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199405,47,2,10,3300,NA,"SEBASTES FASCIATUS",84
"73",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,101,1,25,4700,NA,"CITHARICHTHYS ARCTIFRONS",66
"74",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199405,57,1,3,7400,NA,"CLUPEIDAE",82
"75",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199405,62,1,2,16000,NA,"CLUPEIDAE",79
"76",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199105,276,2,1,19000,NA,"MERLUCCIUS BILINEARIS",97
"77",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,356,2,2,1000,NA,"DECAPODA SHRIMP",95
"78",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200303,10,1,1,6000,"N","UROPHYCIS REGIA",69
"79",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200807,229,1,303,8200,"N","AMMODYTES SP",58
"80",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198303,303,1,20,3000,NA,"EUPHAUSIIDAE",25
"81",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,108,2,1,18000,NA,"AMMODYTES SP",74
"82",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200807,230,1,301,8200,"N","AMMODYTES SP",71
"83",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199105,302,2,8,11300,NA,"MELANOGRAMMUS AEGLEFINUS",90
"84",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,108,2,11,16500,NA,"AMMODYTES SP",58
"85",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199503,80,1,6,15000,NA,"CLUPEA HARENGUS",79
"86",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198202,110,2,3,17000,NA,"AMMODYTES SP",99
"87",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199901,77,2,2,22000,"N","CLUPEIDAE",86
"88",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",197805,316,2,1,21000,NA,"AMMODYTES SP",999.99
"89",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",197805,316,2,5,17000,NA,"AMMODYTES SP",96
"90",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,111,2,1,17000,NA,"AMMODYTES SP",73
"91",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,111,2,2,15000,NA,"AMMODYTES SP",64
"92",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,111,2,4,16000,NA,"AMMODYTES SP",72
"93",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199604,232,2,4,5000,NA,"CANCER IRRORATUS",80
"94",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,113,2,3,16500,NA,"AMMODYTES SP",78
"95",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198306,290,1,1,10000,NA,"AMMODYTES SP",999.99
"96",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198306,303,1,4,24000,NA,"UROPHYCIS CHUSS",66
"97",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199301,13,2,8,18000,NA,"FISH",63
"98",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199201,15,1,8,11000,NA,"LOLIGO SP",76
"99",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198603,105,2,3,12500,NA,"OPHIDION GRAYI",89
"100",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199201,19,2,5,19000,NA,"TRIGLIDAE",85
"101",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",201502,84,1,22709,7800,"N","LOLIGO SP",84
"102",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199201,25,2,4,9000,NA,"LOLIGO SP",88
"103",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,140,2,8,20400,NA,"SCOMBRIDAE",95
"104",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199201,32,2,3,4000,NA,"LOLIGO SP",82
"105",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199301,22,1,2,6000,NA,"LOLIGO SP",70
"106",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199201,37,2,5,4000,NA,"FISH",80
"107",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198705,160,2,19,3000,NA,"OVALIPES OCELLATUS",91
"108",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198002,36,0,3,5900,NA,"LOLIGO SP",95
"109",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198402,48,2,1,15000,NA,"ANIMAL REMAINS",86
"110",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198402,53,2,2,16000,NA,"CYNOSCION REGALIS",94
"111",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200902,19,2,2,5000,"E","FISH",80
"112",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198603,155,2,14,3800,NA,"AMMODYTES SP",72
"113",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199706,284,2,7,8500,NA,"PEPRILUS TRIACANTHUS",89
"114",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198402,78,2,3,27000,NA,"ALOSA AESTIVALIS",91
"115",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199201,49,1,3,20000,NA,"SCOMBER SCOMBRUS",74
"116",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200902,34,2,301,7100,"N","LOLIGO SP",84
"117",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198402,178,2,3,27000,NA,"SCOMBRIDAE",96
"118",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199201,58,2,2,26000,NA,"CLUPEA HARENGUS",90
"119",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198603,172,1,15,16000,NA,"LOLIGO SP",73
"120",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198603,187,1,2,9000,NA,"CEPHALOPODA",50
"121",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199604,319,2,1,16800,NA,"CLUPEA HARENGUS",80
"122",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199602,16,2,5,4500,NA,"TRIGLIDAE",85
"123",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199801,6,2,3,24000,NA,"FISH",50
"124",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200510,155,2,2,9000,"N","LOLIGO SP",75
"125",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199602,36,2,6,4700,NA,"LOLIGO SP",93
"126",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,13,2,2,16600,NA,"ANIMAL REMAINS",96
"127",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199202,8,1,1,7000,NA,"CEPHALOPODA",60
"128",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199202,15,2,1,23000,NA,"CLUPEIDAE",67
"129",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,19,2,1,1500,NA,"ANIMAL REMAINS",90
"130",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199602,60,2,1,7500,NA,"TRIGLIDAE",80
"131",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199801,25,2,7,7000,NA,"CEPHALOPODA",80
"132",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200501,34,2,3,14000,"N","GADIDAE",92
"133",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",197904,159,2,10,3000,NA,"FISH",105
"134",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199202,35,2,9,4500,NA,"LOLIGO SP",96
"135",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198705,304,2,1,25000,NA,"ANIMAL REMAINS",100
"136",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",197904,244,2,8,9000,NA,"FISH",84
"137",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199306,289,2,4,22000,NA,"SCOMBER SCOMBRUS",93
"138",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199202,58,2,7,12000,NA,"SYMPHURUS SP",81
"139",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198705,332,2,8,1200,NA,"CRUSTACEA SHRIMP",51
"140",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,1,2,2,11000,NA,"SYMPHURUS SP",999.99
"141",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,48,2,1,12200,NA,"SYMPHURUS SP",91
"142",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,3,2,4,5000,NA,"PLEURONECTIFORMES",999.99
"143",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199505,20,2,5,22500,NA,"ENCHELYOPUS CIMBRIUS",75
"144",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,10,2,18,5000,NA,"LOLIGO SP",95
"145",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,28,2,2,1200,NA,"UROPHYCIS REGIA",84
"146",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,35,2,1,14000,NA,"SYMPHURUS SP",84
"147",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,38,2,4,6000,NA,"ENGRAULIDAE",87
"148",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,48,2,2,30000,NA,"FISH",109
"149",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199202,95,2,2,5000,NA,"AMMODYTES SP",82
"150",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,58,2,5,15000,NA,"AMMODYTES SP",76
"151",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,74,2,1,12000,NA,"AMMODYTES SP",999.99
"152",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,105,2,2,14000,NA,"AMMODYTES SP",72
"153",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,117,2,2,20000,NA,"SCOMBRIDAE",90
"154",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199302,7,2,4,17000,NA,"PRIONOTUS CAROLINUS",108
"155",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,141,2,2,26500,NA,"CLUPEA HARENGUS",93
"156",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198405,278,2,10,24000,NA,"FISH",92
"157",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199302,10,2,10,4200,NA,"FISH",91
"158",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199405,57,1,3,8000,NA,"CLUPEIDAE",82
"159",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",197908,322,2,6,13000,NA,"PHOLIS GUNNELLUS",96
"160",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199302,21,2,7,9000,NA,"PEPRILUS TRIACANTHUS",71
"161",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198405,333,2,12,4000,NA,"MYOXOCEPHALUS OCTODECEMSPINOSUS",52
"162",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199701,83,1,6,11000,"N","LOLIGO SP",63
"163",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199701,86,1,2,12000,"N","PARALICHTHYS OBLONGUS",75
"164",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199302,36,2,2,12500,NA,"FISH",97
"165",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200005,230,1,1,5000,"N","CEPHALOPODA",61
"166",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198405,394,1,24,13300,NA,"AMMODYTES SP",78
"167",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198405,394,2,19,14000,NA,"AMMODYTES SP",102
"168",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199908,152,2,3,10500,"E","PEPRILUS TRIACANTHUS",81
"169",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199908,157,1,1,2800,"N","CEPHALOPODA",73
"170",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199908,158,2,5,9500,"E","CITHARICHTHYS ARCTIFRONS",74
"171",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199908,160,2,3,9500,"N","PEPRILUS TRIACANTHUS",81
"172",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198801,253,2,3,21000,NA,"GADIDAE",84
"173",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199406,226,2,1,16000,NA,"MERLUCCIUS BILINEARIS",86
"174",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200902,296,1,1,13000,"N","GADIDAE",70
"175",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199702,16,1,9,12500,NA,"ETRUMEUS TERES",77
"176",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198502,67,2,15,20000,NA,"CYNOSCION REGALIS",88
"177",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198502,75,2,3,6000,NA,"ENGRAULIDAE",71
"178",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198502,75,2,10,7000,NA,"FISH",78
"179",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199102,83,2,7,7000,NA,"PLEURONECTIFORMES",75
"180",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198202,242,2,2,15000,NA,"SCOMBRIDAE",98
"181",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198502,82,2,8,8000,NA,"ENGRAULIDAE",76
"182",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200306,116,2,1,7300,"N","LOLIGO SP",72
"183",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199801,117,1,6,32000,NA,"ANGUILLIFORMES",65
"184",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198502,88,2,3,4000,NA,"FISH",72
"185",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,39,2,7,5200,NA,"ENGRAULIDAE",84
"186",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198502,111,2,1,12000,NA,"AMMODYTES SP",73
"187",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199302,60,2,3,16000,NA,"SYMPHURUS SP",84
"188",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198502,127,2,23,30000,NA,"PARALICHTHYS OBLONGUS",999.99
"189",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199406,258,2,2,10000,NA,"LOLIGO SP",79
"190",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199302,71,2,2,27000,NA,"OPHICHTHIDAE",94
"191",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199302,79,1,2,7300,NA,"LOLIGO SP",66
"192",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198002,36,0,3,13000,NA,"FISH",95
"193",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198002,36,2,6,22700,NA,"OPHICHTHIDAE",100
"194",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198002,36,2,7,15000,NA,"FISH",97
"195",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199908,211,2,1,16000,"E","SCOMBER SCOMBRUS",58
"196",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199401,114,1,1,22000,NA,"MERLUCCIUS BILINEARIS",75
"197",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198002,83,2,3,4800,NA,"ANCHOA SP",999.99
"198",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199102,137,2,45,19000,NA,"FISH",84
"199",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199204,37,2,3,20000,NA,"MERLUCCIUS BILINEARIS",72
"200",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198803,150,2,1,26500,NA,"CTENOPHORA",105
"201",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199804,358,2,2,12000,"N","AMMODYTES SP",63
"202",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198002,358,1,9,3000,NA,"FISH",67
"203",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199204,61,2,1,14500,NA,"CLUPEIDAE",76
"204",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198803,180,1,10,3000,NA,"CRANGON SEPTEMSPINOSA",58
"205",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199406,310,2,2,4400,NA,"GLYPTOCEPHALUS CYNOGLOSSUS",76
"206",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198803,206,2,8,8000,NA,"LOLIGO SP",54
"207",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199406,326,1,1,27000,NA,"CLUPEA HARENGUS",79
"208",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200510,155,2,1,7500,"N","LOLIGO SP",82
"209",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198803,232,1,2,10000,NA,"FISH",75
"210",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200101,22,2,2,4000,"E","LOLIGO SP",68
"211",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198803,233,2,7,4500,NA,"COTTIDAE",60
"212",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199204,96,2,1,600,NA,"CLUPEIDAE",96
"213",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200703,30,2,1,13000,"N","ILLEX ILLECEBROSUS",83
"214",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,20,2,5,3900,NA,"CRUSTACEA SHRIMP",77
"215",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199802,17,1,4,1500,NA,"CLYPEASTEROIDA",59
"216",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",200306,236,2,11,12500,"E","LOLIGO PEALEII",86
"217",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,59,2,5,24400,NA,"SCOMBRIDAE",90
"218",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199502,10,1,1,20000,NA,"SCOMBER SCOMBRUS",80
"219",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,38,2,6,4300,NA,"CEPHALOPODA",90
"220",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198702,39,2,3,9000,NA,"BREVOORTIA TYRANNUS",86
"221",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199502,20,1,3,11000,NA,"FISH",71
"222",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198803,276,1,1,12000,NA,"FISH",68
"223",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198502,252,1,12,4000,NA,"CTENOPHORA",57
"224",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199502,29,2,4,34000,NA,"SCOMBER SCOMBRUS",92
"225",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",198901,271,2,4,8000,NA,"PANDALIDAE",97
"226",15,"SQUALUS ACANTHIAS","SPINY DOGFISH",199402,20,2,9,4100,NA,"ENGRAULIDAE",89
